County,State,Age.Percent 65 and Older,Age.Percent Under 18 Years,Age.Percent Under 5 Years,Income.Median Houseold Income,Income.Per Capita Income,Income.Persons Below Poverty Level,Population.2010 Population,Population.2014 Population,Population.Population Percent Change,Population.Population per Square Mile
Sullivan ,MO,18.4,22.9,6,36676,19279,17,6714,6411,-4.5,10.4
Taney ,MO,19.7,21.2,5.8,38461,20231,18.8,51675,54230,4.9,81.7
Texas ,MO,19.5,21.4,5.6,36082,17868,21.4,26008,25642,-1.4,22.1
Vernon ,MO,17.7,24.5,6.3,38679,19734,21,21159,21001,-0.7,25.6
Warren ,MO,16.6,24.4,6.2,50830,24692,13.4,32513,33253,2.3,75.9
Washington ,MO,15.4,23.1,5.8,34702,17703,23.4,25195,25077,-0.5,33.2
Wayne ,MO,21.9,20.8,6,33159,18970,21.9,13521,13452,-0.5,17.8
Webster ,MO,14.6,27.2,6.8,44596,19955,18.9,36202,36888,1.9,61.1
Worth ,MO,24.3,20.4,5.9,39348,22967,13.2,2171,2073,-4.5,8.1
Wright ,MO,19.1,25.1,6.3,28645,14752,27.5,18815,18291,-2.8,27.6
St. Louis ,MO,11.4,20.3,6.7,34582,23048,27.4,319294,317419,-0.6,5157.5
Beaverhead ,MT,19.8,18,4.5,41614,22872,15.1,9246,9345,1.1,1.7
Big Horn ,MT,11.4,33.5,10.3,39966,15695,25.5,12865,13282,3.2,2.6
Blaine ,MT,14.2,30.2,8.7,37151,17437,28.8,6491,6619,2,1.5
Broadwater ,MT,20.9,20.6,5,45932,24270,10.5,5612,5667,0.9,4.7
Carbon ,MT,22.3,18.3,4.2,47831,27599,11.1,10078,10399,3.2,4.9
Carter ,MT,25.2,16.7,5.4,39659,24921,13.7,1160,1169,0.8,0.3
Cascade ,MT,16.9,22.6,6.7,44963,24727,14.9,81327,82344,1.3,30.1
Chouteau ,MT,18.1,24.5,3.8,40070,21737,21.7,5813,5894,1.4,1.5
Custer ,MT,18.7,22.1,6.3,43524,23910,13.3,11699,12092,3.4,3.1
Daniels ,MT,25.2,21,5.6,46100,31449,10.1,1751,1793,2.4,1.2
Dawson ,MT,16.8,22.3,6.5,50405,26126,16,8966,9518,6.2,3.8
Deer Lodge ,MT,20.7,16.2,4,38958,22052,20.5,9298,9150,-1.5,12.6
Fallon ,MT,15.7,25.9,7.8,51164,28563,5.9,2890,3108,7.5,1.8
Fergus ,MT,23,20.4,5.1,38344,24429,13.8,11586,11442,-1.2,2.7
Flathead ,MT,17.2,22.5,5.8,46581,25790,14.2,90928,94924,4.4,17.9
Gallatin ,MT,11.2,20.5,5.8,52833,28939,14.1,89513,97308,8.7,34.4
Garfield ,MT,22.6,22.9,5.7,45096,25921,10.5,1206,1309,8.3,0.3
Glacier ,MT,10.9,31.3,9.3,33519,15604,33.7,13399,13696,2.2,4.5
Golden Valley ,MT,24.5,20.2,4.7,39313,23508,20.7,884,852,-3.6,0.8
Granite ,MT,28.9,16.2,3.6,45236,26277,15.1,3079,3209,4.2,1.8
Hill ,MT,14.1,27,8.5,43726,21376,18.9,16096,16596,3.1,5.6
Jefferson ,MT,18.7,21,4.2,60863,30397,7.8,11406,11558,1.3,6.9
Judith Basin ,MT,22.5,18.8,3.7,41932,24260,12.4,2072,1991,-3.9,1.1
Lake ,MT,19.7,24.2,6.4,38019,21521,22.4,28746,29099,1.2,19.3
Lewis and Clark ,MT,16.2,21.8,5.9,56243,28400,10.4,63395,65856,3.9,18.3
Liberty ,MT,19.8,21.2,5.7,44493,25522,21,2339,2359,0.9,1.6
Lincoln ,MT,24.8,18.4,4.7,33333,21719,17.9,19687,19125,-2.9,5.4
McCone ,MT,22.5,19.9,3.4,46667,27161,7.4,1734,1694,-2.3,0.7
Madison ,MT,26.3,15.7,3.8,47762,33062,8.7,7691,7820,1.7,2.1
Meagher ,MT,26.2,18.7,5.8,38182,20288,13.6,1891,1853,-2,0.8
Mineral ,MT,26.6,18.3,4.7,33033,19859,18.4,4223,4257,0.8,3.5
Missoula ,MT,13.6,19.4,5.4,46117,25764,16.5,109299,112684,3.1,42.1
Musselshell ,MT,21.3,19.8,4.8,43409,23022,13,4538,4589,1.1,2.4
Park ,MT,19.5,19.1,4.7,42426,24611,12.3,15636,15880,1.6,5.6
Petroleum ,MT,21,21.9,2.3,41705,22714,11.1,494,485,-1.8,0.3
Phillips ,MT,20.5,22.6,6.1,42632,22890,14,4253,4192,-1.4,0.8
Pondera ,MT,19.6,24.5,6.6,41277,22256,17.5,6153,6219,1.1,3.8
Powder River ,MT,23.6,17.4,2.7,46250,28528,9.2,1743,1783,2.3,0.5
Powell ,MT,18.5,15.6,4.2,40802,19736,15.3,7027,6909,-1.7,3
Prairie ,MT,30,18.3,6.5,38036,20644,21.5,1179,1148,-2.6,0.7
Ravalli ,MT,23.1,20.3,4.8,38688,22872,16.8,40212,41030,2,16.8
Richland ,MT,13,24.7,7.2,58112,32036,14.2,9746,11576,18.8,4.7
Roosevelt ,MT,10.5,32,9.7,36920,16888,26.6,10425,11332,8.7,4.4
Rosebud ,MT,13.6,29.2,8.7,48789,22229,17.3,9233,9326,1,1.8
Sanders ,MT,26,18.2,4.5,32881,19188,22,11413,11364,-0.4,4.1
Sheridan ,MT,20.8,20.9,5.4,48667,31378,11.8,3384,3696,9.2,2
Silver Bow ,MT,17.3,20.5,5.8,38659,23562,19.1,34200,34680,1.4,47.6
Stillwater ,MT,20.1,21.6,4.6,57906,28868,7.8,9117,9290,1.9,5.1
Sweet Grass ,MT,23.5,22.2,4.3,45938,22743,13.5,3651,3665,0.4,2
Teton ,MT,22,23,6.1,43327,22799,15.1,6073,6064,-0.1,2.7
Toole ,MT,15.6,19.9,5.3,46972,23162,16.3,5324,5150,-3.3,2.8
Treasure ,MT,27,17.6,6.1,37105,23948,11.3,718,692,-3.6,0.7
Valley ,MT,20.8,22.7,5.4,47181,25685,13.5,7369,7640,3.7,1.5
Wheatland ,MT,23.9,23.1,6.8,31867,17336,11.2,2168,2102,-3,1.5
Wibaux ,MT,24.6,21.3,4.6,41875,27492,13.3,1017,1121,10.2,1.1
Yellowstone ,MT,15.3,23.6,6.4,51342,27761,12.3,147972,155634,5.2,56.2
Adams ,NE,16.5,23.4,6.3,49440,25571,12.8,31364,31457,0.3,55.7
Antelope ,NE,22.4,23.4,6.6,43518,25186,11,6685,6398,-4.3,7.8
Arthur ,NE,21.2,28,5.7,40568,17656,6.9,460,453,-1.5,0.6
Banner ,NE,29.6,19,6,36875,25814,15.4,690,764,10.7,0.9
Blaine ,NE,21.8,23.4,8.3,42917,19141,17.7,478,504,5.4,0.7
Boone ,NE,21.6,23,5.6,45246,25590,9.7,5505,5353,-2.8,8
Box Butte ,NE,16.1,25.3,7.1,46373,25046,23.9,11308,11340,0.3,10.5
Boyd ,NE,28.7,21,4.6,41279,23157,10.5,2099,2033,-3.1,3.9
Brown ,NE,24.3,20.1,4.7,33647,21843,15.6,3145,2941,-6.4,2.6
Buffalo ,NE,12.9,23.3,7,50963,24830,13.6,46102,48224,4.6,47.6
Burt ,NE,23.9,22.4,5.4,46817,25203,9.7,6858,6573,-4.2,14
Butler ,NE,20.6,23.6,5.8,50247,27673,9.4,8395,8249,-1.7,14.4
Cass ,NE,16.1,24.6,6,64697,29638,6.4,25241,25524,1.1,45.3
Cedar ,NE,21.3,24.5,5.3,48038,25738,10.1,8852,8610,-2.7,12
Chase ,NE,20.7,24.1,5.7,45610,28241,12.8,3966,3978,0.3,4.4
Cherry ,NE,21.4,21.9,5.4,45464,25213,13,5713,5762,0.9,1
Cheyenne ,NE,16.2,24.1,6.2,51529,28296,14,9998,10148,1.5,8.4
Clay ,NE,19.1,24.3,6.3,46784,23876,9,6542,6315,-3.5,11.4
Colfax ,NE,13.1,29.6,8.2,51765,23751,15.5,10515,10504,-0.1,25.5
Cuming ,NE,21.5,24.5,5.5,47500,24496,11.6,9139,9027,-1.2,16
Custer ,NE,20.9,23.3,6.1,44873,24615,9.6,10939,10728,-2,4.2
Dakota ,NE,12.7,29,8,47069,20179,16.9,21006,20850,-0.7,79.5
Dawes ,NE,17.6,18.4,5.1,40359,21137,19.3,9182,9042,-1.5,6.6
Dawson ,NE,15,27.9,7.5,46078,20142,14.8,24326,24096,-0.9,24
Deuel ,NE,23.5,21,5.2,44922,27199,13.5,1941,1940,-0.1,4.4
Dixon ,NE,19.7,24.8,5.8,47325,23769,11.2,6000,5782,-3.6,12.6
Dodge ,NE,19,23.5,6.4,48626,24588,10.7,36691,36744,0.1,69.4
Douglas ,NE,11.5,25.8,7.6,53325,29180,14.3,517110,543244,5.1,1574.4
Dundy ,NE,23.3,21.2,3.9,47431,28502,8.1,2008,1886,-6.1,2.2
Fillmore ,NE,22.9,20.5,4.9,48464,25460,8.8,5890,5661,-3.9,10.2
Franklin ,NE,25.7,19.2,4.5,43011,26095,12.9,3225,3076,-4.6,5.6
Frontier ,NE,21.2,20.5,3.9,50227,25262,12,2756,2705,-1.9,2.8
Furnas ,NE,22.7,22.5,5.1,39603,22068,16.2,4959,4888,-1.4,6.9
Gage ,NE,20.4,22.1,5.7,47654,24555,11.7,22311,21663,-2.9,26.2
Garden ,NE,27.7,17.6,3.9,39400,26715,9.4,2057,1911,-7.1,1.2
Garfield ,NE,26.9,19,3,41892,22092,13,2049,2003,-2.2,3.6
Gosper ,NE,20.9,23.6,5.9,45893,23266,8,2044,1970,-3.6,4.5
Grant ,NE,19.7,20.5,7.9,44167,19968,18.8,614,619,0.8,0.8
Greeley ,NE,23.7,24.2,5.2,44950,23833,12.1,2538,2482,-2.2,4.5
Hall ,NE,14.2,26.7,7.6,48712,23380,13.7,58607,61492,4.9,107.3
Hamilton ,NE,17.8,24.5,5.8,56065,26715,10.1,9124,9135,0.2,16.8
Harlan ,NE,24.3,21.8,6.8,45920,25322,12.1,3423,3492,2,6.2
Hayes ,NE,24.8,19.8,4.7,49125,23749,5.9,967,933,-3.5,1.4
Hitchcock ,NE,23.8,21.7,5.7,39702,23554,15.5,2908,2901,-0.2,4.1
Holt ,NE,20.8,24,7.1,44427,24120,10.2,10435,10403,-0.3,4.3
Hooker ,NE,29,20.3,6.2,39327,20737,12.8,736,728,-1.1,1
Howard ,NE,20.2,23.8,5.9,49088,26770,10.3,6274,6362,1.4,11
Jefferson ,NE,22.5,22,5.6,44843,24777,13.6,7547,7335,-2.8,13.2
Johnson ,NE,16.9,19.8,4.8,42364,19435,13.7,5217,5185,-0.6,13.9
Kearney ,NE,18.8,24.5,6.2,56466,27796,4.9,6489,6644,2.4,12.6
Keith ,NE,23.2,20.6,4.5,41970,25097,11.2,8368,8121,-3,7.9
Keya Paha ,NE,28.3,20,5.8,36923,25251,15.5,824,810,-1.7,1.1
Kimball ,NE,22.7,22.1,5.8,42180,24565,13,3821,3713,-2.8,4
Knox ,NE,23.8,24.1,6.1,42230,25214,14,8701,8482,-2.5,7.9
Lancaster ,NE,12.1,23.1,6.7,51574,27141,15.2,285407,301795,5.7,340.8
Lincoln ,NE,17.1,24.4,6.3,48158,26188,11.4,36288,35815,-1.3,14.2
Logan ,NE,18.4,24.1,6,44417,22799,12.1,763,750,-1.7,1.3
Loup ,NE,24.8,20.2,4.1,38125,21499,25.8,632,588,-6.4,1.1
McPherson ,NE,19.9,25.3,3.8,54926,25339,13.6,539,498,-7.6,0.6
Madison ,NE,15.6,24.7,7.3,46566,24593,14.2,34876,35174,0.9,60.9
Merrick ,NE,18.8,23.3,5.6,50859,24639,12.6,7845,7766,-1.1,16.2
Morrill ,NE,18.2,24.4,5.4,43886,22543,13.8,5042,4862,-3.6,3.5
Nance ,NE,20.6,22.4,6.2,44286,23684,12.6,3735,3570,-4.4,8.5
Nemaha ,NE,18,21.2,6.1,42672,25269,10.4,7248,7175,-1,17.8
Nuckolls ,NE,26.2,20.7,4.3,37594,22448,11.1,4500,4369,-2.9,7.8
Otoe ,NE,19.9,23.4,6.1,50881,25855,10.5,15740,15797,0.4,25.6
Pawnee ,NE,25.6,22.1,5.4,37321,25426,21.5,2773,2702,-2.6,6.4
Perkins ,NE,21.9,24.1,6.6,58625,27931,5.8,2970,2891,-2.7,3.4
Phelps ,NE,20.1,23.8,7,50000,26856,9.1,9188,9187,0,17
Pierce ,NE,18,24.9,6.1,51924,24830,5.6,7266,7202,-0.9,12.7
Platte ,NE,15.7,26.1,7.4,51213,24219,10.7,32237,32666,1.3,47.8
Polk ,NE,20.2,23.5,5.7,52848,27639,8.3,5406,5271,-2.5,12.3
Red Willow ,NE,18.9,22.4,6.1,42345,23320,12.7,11055,10867,-1.7,15.4
Richardson ,NE,23.8,20.8,5.2,38582,23566,17.2,8363,8128,-2.8,15.2
Rock ,NE,21.8,21,4.8,43500,24501,10,1526,1443,-5.6,1.5
Saline ,NE,15,24.2,6.9,44109,20407,16.8,14200,14252,0.4,24.7
Sarpy ,NE,10.2,28.2,7.8,69965,30189,6.6,158840,172193,8.4,664.6
Saunders ,NE,17.4,24.9,6.2,59870,30039,8,20780,20919,0.7,27.7
Scotts Bluff ,NE,17.7,24.5,6.8,43444,23220,13.7,36970,36465,-1.4,50
Seward ,NE,16.6,23.2,5.9,59435,28359,8.8,16750,17150,2.4,29.3
Sheridan ,NE,23.4,22.6,4.9,38548,22551,16,5469,5259,-3.8,2.2
Sherman ,NE,26.1,20.9,5.1,41835,24837,13.5,3152,3074,-2.5,5.6
Sioux ,NE,21.1,21.6,5.4,42014,31517,9.3,1311,1303,-0.6,0.6
Stanton ,NE,15,25.9,6,51493,23131,8.5,6129,6069,-1,14.3
Thayer ,NE,24.7,21.9,5.2,44422,26965,13.4,5228,5230,0,9.1
Thomas ,NE,19.8,23.3,8.3,55089,30116,7.7,647,687,6.2,0.9
Thurston ,NE,12.1,35.6,10.1,41400,17106,26.9,6940,6969,0.4,17.6
Valley ,NE,23.9,23,5.4,40445,23227,15.2,4260,4204,-1.3,7.5
Washington ,NE,16,23.8,5.4,65409,29328,7.7,20234,20258,0.1,51.9
Wayne ,NE,14.1,19.5,5.7,52147,24448,15,9595,9431,-1.7,21.7
Webster ,NE,23,21.7,5.8,41045,21423,15.5,3812,3658,-4,6.6
Wheeler ,NE,21.9,20.1,6.4,38807,25898,16,818,766,-6.4,1.4
York ,NE,18.5,22.6,6.6,49633,28207,8.9,13665,13917,1.8,23.9
Churchill ,NV,18,23.3,6.5,49830,24716,15,24877,23989,-3.6,5
Clark ,NV,13.3,23.8,6.4,52873,26217,15.1,1951269,2069681,6.1,247.3
Douglas ,NV,24.5,18.2,4.1,60100,34123,10.2,46997,47536,1.1,66.2
Elko ,NV,9.2,28.1,7.2,70238,28358,8.8,48818,52766,7.8,2.8
Esmeralda ,NV,26,17,3.2,30284,20862,22.3,783,822,4.8,0.2
Eureka ,NV,15,23,6.9,64632,28056,13.9,1987,2018,1.6,0.5
Humboldt ,NV,10.6,27.3,7.8,59472,26515,12.3,16528,17279,4.6,1.7
Lander ,NV,13.2,26.8,8.1,72742,29800,9.3,5775,6009,4.1,1.1
Lincoln ,NV,19.8,22.7,4,40143,22879,17.3,5345,5184,-3,0.5
Lyon ,NV,19.7,22.4,5.3,46137,21757,15,51980,51789,-0.4,26
Mineral ,NV,25.1,19.1,6.1,35017,23146,20.5,4772,4500,-5.7,1.3
Nye ,NV,27.9,18,4.3,39876,21838,18.9,43946,42282,-3.8,2.4
Pershing ,NV,13.8,18.5,4.6,52101,18203,18,6753,6698,-0.8,1.1
Storey ,NV,27.8,12.5,2.2,61573,33472,11,4010,3912,-2.4,15.3
Washoe ,NV,14.6,22.4,6,53040,28670,15.1,421407,440078,4.4,66.9
White Pine ,NV,15.1,21.5,6.3,48586,24435,12.9,10030,10034,0,1.1
Carson ,NV,19.2,20.5,5.2,51957,26264,16.2,55274,54522,-1.4,382.1
Belknap ,NH,19.9,19.5,4.7,58654,30518,9.9,60088,60305,0.4,150.1
Carroll ,NH,24.5,16.8,3.8,50866,31558,10.1,47818,47399,-0.9,51.4
Cheshire ,NH,17.3,18.6,4.7,55155,27874,11.4,77117,76115,-1.3,109.1
Coos ,NH,21.8,17.7,4.2,41985,24367,13.4,33055,31653,-4.2,18.4
Grafton ,NH,18,17.2,4.3,54912,30738,11.2,89118,89658,0.6,52.2
Hillsborough ,NH,13.9,21.7,5.4,69829,34390,8.6,400721,405184,1.1,457.4
Merrimack ,NH,16.1,19.9,4.8,65353,31310,8.7,146445,147171,0.5,156.8
Rockingham ,NH,15.2,20.6,4.6,77348,38399,5.5,295223,300621,1.8,425
Strafford ,NH,13.8,19.5,5,58825,29369,10.5,123143,125604,2,333.7
Sullivan ,NH,18.9,19.7,4.7,54463,28582,9.9,43742,43103,-1.5,81.4
Atlantic ,NJ,15.8,22.1,6.1,54235,27391,14.4,274549,275209,0.2,494.1
Bergen ,NJ,16,21.7,5.2,83794,43347,7.2,905116,933572,3.1,3884.5
Burlington ,NJ,15.6,21.7,5.2,78446,36835,5.5,448734,449722,0.2,561.9
Camden ,NJ,14.2,23.3,6.3,61683,30592,13,513657,511038,-0.5,2321.5
Cape May ,NJ,23.9,17.8,4.9,56494,32948,10.1,97265,95344,-2,386.9
Cumberland ,NJ,13.6,23.8,6.8,50750,22524,17.5,156898,157389,0.3,324.4
Essex ,NJ,12.4,24.2,6.7,55095,32181,16.6,783969,795723,1.5,6211.5
Gloucester ,NJ,14.1,22.9,5.5,74524,32600,8.1,288288,290951,0.9,895.3
Hudson ,NJ,10.8,20.3,7,58442,32641,16.8,634266,669115,5.5,13731.4
Hunterdon ,NJ,15.7,21.2,3.9,106143,50349,4,128349,126067,-1,300
Mercer ,NJ,13.8,21.9,5.9,73480,37465,11.2,366513,371537,1.1,1632.2
Middlesex ,NJ,13.4,22,6,79596,34345,8.5,809858,836297,3.3,2621.6
Monmouth ,NJ,15.6,22.3,5.2,84526,42749,7,630380,629279,-0.2,1344.7
Morris ,NJ,15.4,22.3,5.1,98633,48814,4.4,492276,499727,1.5,1069.8
Ocean ,NJ,21.9,23.5,6.8,61136,30477,10.4,576567,586301,1.7,917
Passaic ,NJ,13.1,24.4,6.9,57654,27152,16.3,501226,508856,1.4,2715.3
Salem ,NJ,17.2,22.2,5.7,59718,28772,12.4,66083,64715,-2.1,199.1
Somerset ,NJ,14.1,23.2,5.5,99020,47803,5,323444,332568,2.8,1071.7
Sussex ,NJ,14.8,21.6,4.6,87335,37949,5.7,149265,144909,-2.7,287.6
Union ,NJ,13,23.9,6.5,68507,35089,10.8,536499,552939,3.1,5216.1
Warren ,NJ,16,21.2,4.6,70912,33555,7.8,108692,106917,-1.6,304.5
Bernalillo ,NM,14.2,22.9,6.3,48801,26814,18,662564,675551,2,570.8
Catron ,NM,35,14,3.2,39826,20616,19.7,3725,3556,-4.5,0.5
Chaves ,NM,14.8,27.2,7.3,39131,19492,21.3,65645,65878,0.4,10.8
Cibola ,NM,14.2,24.5,7.4,37237,16129,27.6,27213,27349,0.5,6
Colfax ,NM,23.7,19,4.8,37734,21387,17.7,13750,12680,-7.8,3.7
Curry ,NM,11.5,27,8.6,39871,21259,18.9,48376,50969,5.4,34.4
De Baca ,NM,23.8,21.8,5.8,37660,24879,23.5,2022,1825,-9.7,0.9
Do±a Ana ,NM,14.2,25.4,7.2,37933,19565,27,209233,213676,2.1,55
Eddy ,NM,13.9,26.3,7,49165,28438,12.5,53829,56395,4.8,12.9
Grant ,NM,24.1,20.8,5.5,37899,22755,20.2,29514,29096,-1.4,7.4
Guadalupe ,NM,17.9,20.7,4.9,29071,14198,17.5,4687,4468,-4.7,1.5
Harding ,NM,30.7,14.8,4,34063,25686,16.7,695,683,-1.7,0.3
Hidalgo ,NM,19.1,23.3,6.5,34080,18392,24.3,4894,4560,-6.8,1.4
Lea ,NM,10.4,30.4,8.6,50694,22484,15,64727,69999,8.1,14.7
Lincoln ,NM,26.3,18.6,4.9,43014,25449,14.7,20497,19706,-3.9,4.2
Los Alamos ,NM,16.6,23.3,5.5,106686,51044,4.4,17950,17682,-1.5,164.4
Luna ,NM,20.8,25.9,7.6,29282,16114,29.7,25095,24673,-1.7,8.5
McKinley ,NM,10.6,30.7,9,30458,12679,35,71492,74098,3.6,13.1
Mora ,NM,22.7,19.2,4.4,28481,20543,19.7,4881,4592,-5.9,2.5
Otero ,NM,16.4,24.2,7.6,39263,19880,21.8,63797,65082,2,9.6
Quay ,NM,23.7,21.2,6.3,30802,17936,21.4,9041,8501,-6,3.1
Rio Arriba ,NM,16.5,24.3,7.1,40250,20014,21.2,40246,39777,-1.2,6.9
Roosevelt ,NM,12.6,24.7,7.6,38764,17477,25.4,19846,19536,-1.6,8.1
Sandoval ,NM,15.1,24.6,5.8,58017,26924,14.2,131561,137608,4.6,35.5
San Juan ,NM,13.1,27.3,7.3,48196,21260,22.4,130044,123785,-4.8,23.6
San Miguel ,NM,18.4,19.9,5.4,28275,17926,29.4,29393,28239,-3.9,6.2
Santa Fe ,NM,19.6,19.5,4.8,52917,32298,17,144170,148164,2.8,75.5
Sierra ,NM,34,15.2,4,27430,17752,22.6,11988,11325,-5.5,2.9
Socorro ,NM,16.8,23.4,6.2,34036,18104,25.1,17866,17310,-3.1,2.7
Taos ,NM,22.3,19.1,5.1,32637,21333,25.3,32937,33084,0.4,15
Torrance ,NM,18,22.3,5.3,31161,18675,28.6,16383,15611,-4.7,4.9
Union ,NM,19.7,18.5,4.9,38902,18472,11.9,4549,4297,-5.6,1.2
Valencia ,NM,15.4,24.6,6.2,42506,19623,23.6,76569,75817,-1,71.8
Albany ,NY,15.3,18.9,5,59394,32328,13,304204,308171,1.3,581.9
Allegany ,NY,17.1,20.7,5.1,42445,20978,16.5,48946,47736,-2.5,47.6
Bronx ,NY,11.2,25.5,7.6,34388,18171,29.8,1385108,1438159,3.8,32903.6
Broome ,NY,17.5,19.7,5.1,45958,24835,17.4,200600,197349,-1.6,284.2
Cattaraugus ,NY,17.1,22.7,5.8,42603,22049,17.9,80317,78600,-2.1,61.4
Cayuga ,NY,17.1,20.4,5.2,51581,24702,12.7,80026,78823,-1.5,115.7
Chautauqua ,NY,18.1,20.9,5.3,42429,22168,19.1,134905,132053,-2.1,127.2
Chemung ,NY,17,21.8,6,48804,25329,15.7,88830,87770,-1.2,218.1
Chenango ,NY,18.9,21.3,5.4,43941,22097,15.5,50477,49426,-2.1,56.5
Clinton ,NY,15.2,18.3,4.8,50282,24676,14.5,82128,81632,-0.6,79.1
Columbia ,NY,20.9,18.5,4.3,57336,33613,9.8,63096,62122,-1.5,99.4
Cortland ,NY,15,19.6,4.8,47151,23179,14.7,49336,49024,-0.6,98.9
Delaware ,NY,21.9,18.2,4.8,44470,23677,14.2,47980,46581,-2.9,33.3
Dutchess ,NY,15.5,20.2,4.8,72525,33594,9,297488,296579,-0.3,373.9
Erie ,NY,16.5,20.7,5.4,50653,27978,14.6,919040,922835,0.4,881.4
Essex ,NY,21,17.3,4.2,47380,26582,11.9,39370,38679,-1.8,21.9
Franklin ,NY,14.9,19.9,5.2,45667,21575,19.2,51599,51262,-0.6,31.7
Fulton ,NY,18.1,20.8,5,44276,23839,16.1,55531,54105,-2.6,112.1
Genesee ,NY,17.2,20.7,5.2,49922,25403,12.6,60079,59162,-1.5,121.9
Greene ,NY,20,17.2,4.4,49655,25700,15.1,49221,47967,-2.5,76.1
Hamilton ,NY,26.8,15.1,3.4,51522,28265,9.4,4836,4715,-2.5,2.8
Herkimer ,NY,18.8,21.1,5.4,45047,23418,15,64519,63744,-1.2,45.7
Jefferson ,NY,12.2,24.8,8.7,46484,23078,15.4,116229,119103,2.5,91.6
Kings ,NY,12.1,23.3,7.6,46085,25289,23.2,2504700,2621793,4.7,35369.1
Lewis ,NY,16.6,23.6,6.3,46840,22942,13.5,27087,27220,0.5,21.3
Livingston ,NY,15.8,18.7,4.3,53518,23978,13.4,65393,64586,-1,103.5
Madison ,NY,15.9,20.3,4.7,53589,25230,11.3,73442,72369,-1.5,112.2
Monroe ,NY,15.5,21.5,5.6,52394,28732,15,744344,749857,0.7,1132.6
Montgomery ,NY,17.7,22.6,5.9,44156,23417,18.7,50219,49779,-0.9,124.6
Nassau ,NY,16.4,22.1,5.4,97690,42400,6,1339532,1358627,1.4,4704.8
New York ,NY,14.4,14.7,5.2,69659,62498,17.7,1585873,1636268,3.2,69467.5
Niagara ,NY,17.4,20.3,5.2,47955,25991,13.7,216469,213525,-1.4,414.4
Oneida ,NY,17.5,21.3,5.8,48729,25103,15.9,234878,232871,-0.9,193.7
Onondaga ,NY,15.3,21.9,5.8,54242,28746,14.8,467026,468196,0.2,600
Ontario ,NY,17.7,20.8,5,56479,29904,9.5,107931,109707,1.5,167.6
Orange ,NY,12.6,26,6.5,70458,30583,12.4,372813,376099,0.9,459.3
Orleans ,NY,16.2,20.2,4.9,48502,22255,13.4,42883,41984,-2.1,109.6
Oswego ,NY,14.5,21.6,5.5,48051,23126,17.4,122109,120913,-1,128.3
Otsego ,NY,18.6,16.7,4.1,47765,24165,15.5,62259,61128,-1.8,62.2
Putnam ,NY,14.8,21.4,4.5,95117,40309,5.8,99710,99487,-0.3,432.9
Queens ,NY,13.6,20.4,6.3,57001,26495,15,2230722,2321580,4.1,20553.6
Rensselaer ,NY,15.2,20.2,5.3,59432,29987,13.2,159429,159774,0.2,244.4
Richmond ,NY,14.6,22.2,5.8,72569,31823,11.9,468730,473279,1,8030.3
Rockland ,NY,14.8,27.7,7.5,84951,34591,13.6,311687,323866,3.9,1795.9
St. Lawrence ,NY,15.3,20.7,5.5,43647,22198,19.6,111944,111400,-0.5,41.8
Saratoga ,NY,15.9,21.1,5.1,69826,35176,6.5,219607,224921,2.4,271.1
Schenectady ,NY,15.6,22.2,6,56061,28319,12.7,154727,155735,0.7,756.6
Schoharie ,NY,18.7,18.8,4.6,53245,26584,11.5,32749,31566,-3.6,52.7
Schuyler ,NY,19.2,19.7,5.1,46976,24173,11.5,18343,18479,0.7,55.9
Seneca ,NY,17.4,20.1,5.1,47618,23115,12.3,35251,34884,-1,108.9
Steuben ,NY,17.4,22.3,5.7,47476,25371,15.5,98990,98394,-0.6,71.2
Suffolk ,NY,15.2,22.2,5.4,87763,36945,6.4,1493350,1502968,0.6,1637.4
Sullivan ,NY,16.8,21.6,5.9,48089,24963,18.2,77547,75943,-2.1,80.1
Tioga ,NY,17.9,21.9,5.2,55726,27230,9.3,51125,49870,-2.5,98.6
Tompkins ,NY,12.3,15.4,4.2,51393,27418,20.5,101564,104691,3,214
Ulster ,NY,17.4,18.5,4.5,58590,30442,12.5,182493,180445,-1.1,162.3
Warren ,NY,19.8,19,4.7,55904,30351,10.9,65707,64973,-1.1,75.8
Washington ,NY,17.3,19.8,4.9,52361,24168,13.2,63216,62372,-1.3,76.1
Wayne ,NY,16.5,22.1,5.4,52601,25327,11.3,93772,92051,-1.8,155.3
Westchester ,NY,15.6,22.9,5.7,81946,47984,9.5,949113,972634,2.5,2204.7
Wyoming ,NY,15.5,19.2,4.8,51100,22700,10.5,42155,41188,-2.3,71.1
Yates ,NY,18.4,23.3,6.4,49335,24457,15.9,25348,25208,-0.6,75
Alamance ,NC,16.1,22.9,5.8,43043,23166,18.3,151131,155792,3,356.5
Alexander ,NC,18.9,21,5,40637,20440,17.2,37198,37392,0.5,143.1
Alleghany ,NC,24.5,18.1,4.3,35170,19510,19.8,11155,10879,-2.5,47.5
Anson ,NC,16.4,20.4,4.9,33870,16752,24.2,26948,25765,-4.4,50.7
Ashe ,NC,23.6,18.6,4.7,35951,20838,21.1,27281,27126,-0.6,64
Avery ,NC,20.3,16.1,3.9,36969,21598,18,17797,17773,-0.1,72
Beaufort ,NC,21.6,21.2,5.4,40429,21636,21,47759,47585,-0.4,57.7
Bertie ,NC,19.8,18.8,4.4,30768,17096,23.4,21282,20106,-5.6,30.4
